CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Total Spend,Churn,,,,
1,56,Female,44,,7,2,Standard,3391,0,,,,
2,69,Female,30,10,7,0,Basic,1835,0,,,,
3,46,Unknown,7,8,4,29,Basic,4562,0,,,,
4,32,Male,29,5,8,23,Premium,1648,0,,,,
5,60,Male,12,23,1,12,Premium,4767,1,,,,
6,25,Male,15,34,7,29,Standard,946,1,,,,
7,78,Female,1,47,2,9,Premium,3052,0,,,,
8,38,Male,44,32,6,25,Premium,987,0,,,,
9,56,Female,17,16,8,5,Standard,2016,1,,,,
10,75,Male,34,4,4,10,Premium,1411,0,,,,1
11,36,Unknown,44,28,7,7,Standard,4153,1,,,,
12,40,Female,18,48,3,18,Basic,3226,0,,,,
13,28,Female,12,44,0,29,Premium,3414,1,,,,
14,28,Male,50,14,0,10,Basic,2300,0,,,,
15,41,Male,3,12,5,5,Basic,4364,0,,,,
16,70,Male,18,21,7,11,Basic,1917,0,,,,
17,53,Male,49,48,9,17,Premium,3280,0,,,,
18,,Male,24,16,1,2,Basic,3043,1,,,,
19,41,Female,37,44,3,12,Standard,4036,0,,,,
20,20,Male,50,2,2,,Standard,3845,0,,,,
21,39,Female,56,23,8,8,Standard,3945,0,,,,
22,70,Female,30,29,2,15,Basic,3842,0,,,,
23,19,Male,35,46,7,11,Standard,1862,0,,,,
24,41,Unknown,3,43,6,19,,1283,1,,,,
25,61,Male,55,9,0,6,Basic,2957,0,,,,
26,47,Male,38,7,7,11,Premium,3996,1,,,,
27,55,Female,6,29,8,7,Basic,2476,0,,,,
28,19,Female,57,44,7,20,Standard,2705,1,,,,
29,77,Male,54,17,9,14,Standard,443,0,,,,
30,38,Male,57,9,9,1,Premium,734,1,,,,
31,50,Female,15,6,0,10,Basic,1337,0,,,,
32,29,Male,58,44,6,23,Standard,3329,1,,,,
33,75,Female,47,20,8,20,Basic,4359,0,,,,
34,39,Female,4,10,4,4,Standard,4477,0,,,,
35,78,Unknown,46,9,1,22,Standard,2277,1,,,,
36,61,Male,22,12,7,5,Basic,3023,0,,,,
37,42,Male,35,33,8,18,Standard,1428,1,,,,
38,66,Male,31,32,6,29,Basic,2193,0,,,,
39,44,Male,23,34,4,13,Standard,1336,0,,,,
40,76,Male,24,19,7,6,Standard,1533,0,,,,
41,59,Male,44,33,5,11,Standard,4187,0,,,,
42,45,Female,27,48,3,29,Basic,2101,0,,,,
43,77,Female,18,16,0,16,Basic,1956,1,,,,
44,33,Male,6,23,5,3,Premium,1632,1,,,,
45,32,Male,43,26,7,19,Premium,2149,0,,,,
46,79,Male,57,45,2,21,Standard,4937,0,,,,
47,79,Male,40,44,6,21,Standard,1970,1,,,,
48,64,Female,16,41,6,9,Standard,1827,1,,,,
49,79,Female,1,37,8,23,Standard,2400,0,,,,
50,68,Female,15,9,0,27,Basic,1595,0,,,,
51,61,Female,38,30,4,0,Standard,2975,0,,,,
52,72,Female,17,13,7,28,Basic,188,1,,,,
53,69,Female,38,48,2,22,Premium,2028,0,,,,
54,74,Male,0,42,4,29,Standard,1138,0,,,,
55,20,Female,2,16,0,3,Standard,3336,0,,,,
56,54,Female,20,46,8,12,Standard,1967,0,,,,
57,68,Male,59,2,3,5,Basic,4095,0,,,,
58,24,Male,29,,4,25,Standard,4813,1,,,,
59,38,Male,10,43,2,14,Standard,1542,0,,,,
60,26,Female,21,19,1,13,Basic,4005,1,,,,
61,56,Male,46,11,6,24,Standard,3873,1,,,,
62,35,Male,56,14,4,2,Basic,568,0,,,,
63,21,Male,24,47,9,23,Standard,740,0,,,,
64,42,Female,2,25,2,18,Basic,4031,0,,,,
65,77,Male,29,7,1,5,Standard,536,0,,,,
66,31,Female,23,15,9,1,Basic,4400,0,,,,
67,67,Female,44,30,5,8,Standard,1055,1,,,,
68,75,Female,35,31,9,29,Standard,4717,0,,,,
69,26,Female,22,24,5,12,Standard,3792,0,,,,
70,43,Male,53,25,2,17,Premium,1785,0,,,,
71,70,Male,7,8,8,11,Basic,384,0,,,,
72,19,Female,53,30,0,20,Premium,2584,1,,,,
73,37,Male,3,36,2,21,Basic,1262,1,,,,
74,45,Male,49,14,0,3,Standard,4854,0,,,,
75,64,Female,38,29,6,27,Basic,3062,0,,,,
76,77,Male,42,27,1,22,Standard,1537,0,,,,
77,24,Female,30,36,3,28,Premium,1671,0,,,,
78,61,Male,28,34,3,6,Premium,4109,0,,,,
79,78,Female,58,21,7,11,Basic,4972,0,,,,
